DisProt_ID,UniProt_ID
DP02732,Q8IWJ2
DP03745,Q8VHC3
DP03747,S8F2K7
DP03748,P75862
DP03749,Q92871
DP03750,P0ABT5
DP03752,P08244
DP03753,P36649
DP03758,Q96ST2
DP03759,P25454
DP03802,A0A1L8HGL2
DP03803,Q24459
DP03804,Q9VVI2
DP03806,Q3U8S1
DP03810,P0AFI0
DP03812,P33371
DP03813,P0A6B7
DP03814,Q9BU02
DP03815,P32449
DP03818,P57104
DP03819,P56917
DP03824,A0A0G2KTI4
DP03826,Q91V14
DP03888,P61956
DP03897,Q9UII6
DP03898,P80041
DP03909,P36156
DP03912,P77526
DP03913,P0AFW0
DP03914,G0SCF1
DP03915,P22108
DP03916,Q3E7B7
DP03920,D8SB57
DP03921,A5Y0M2
DP03923,Q9R825
DP03927,W1J0W9
DP03929,Q9U1W1
DP03930,Q811T9
DP03931,Q9NRI5
DP03933,Q9TU17
DP03934,P55917
DP03935,P28234
DP03937,Q03190
DP03938,P29353-2
DP03939,B0JEU3
DP03940,Q8S4P9
DP03941,Q20010
DP03942,P34413
DP03943,A7M6E7
DP03947,P0A8J8
DP03948,Q8WQM8
DP03950,Q02020
DP03951,O93568
DP03972,Q62768
DP03973,P33891
DP03974,P53847
DP03978,P19658
DP03979,F2SDI0
DP03980,Q80U30-3
DP03982,Q7Y1A0
DP03984,Q9Z4N3
DP03985,Q922S8
DP03988,Q86WX3
DP03989,Q2YLR6
DP03990,Q92597
DP03992,P0A7I7
DP03993,Q12395
DP03994,P42641
DP03995,P40484
DP03996,C0IR59
DP03997,A0A3Q7EK40
DP03998,O25119
DP03999,Q8IL97
DP04002,Q71RI2
DP04005,Q9WID3
DP04006,Q9RV58
DP04007,G5EFU3
DP04008,Q8S8Z3
DP04009,O64820
DP04010,Q94K79
DP04011,O23658
DP04012,Q02973
DP04014,Q9LL46
DP04015,Q9ZPQ7
DP04016,Q9SIN3
DP04017,Q6UNL8
DP04018,Q9LW12
DP04019,Q9T0H6
DP04020,A0A7G5VWW1
DP04022,Q6BDI9
DP04023,P10949
DP04024,P63040
DP04026,P53228
DP04027,P37837
DP04028,Q9CA59
DP04029,Q94A79
DP04030,P41743
DP04032,Q6ZT98
DP04033,O15431
DP04035,Q8RN04
DP04036,Q6FML9
DP04038,Q06069
DP04040,Q9TZX2
DP04042,O00834
DP04044,P50489
DP04045,Q7KQK5
DP04046,P62368
DP04051,Q8IJ45
DP04052,Q8I639
DP04055,Q2WF71
DP04056,Q96NI6
DP04057,Q8BPQ7
DP04058,Q9R0M6
DP04059,Q8BXA0
DP04060,Q8LGG8
DP04062,Q9Y4B6
DP04063,P07275
DP04064,Q62765-2
DP04065,P38319
DP04066,P0A8P8
DP04068,P19632
DP04072,Q12402
DP04073,P63103
DP04084,P37093
DP04087,P07206
DP04089,P0AGD7
DP04090,P26949
DP04091,P26926
DP04092,P02710
DP04096,A0A0B4JDC9
DP04097,P46097
DP04102,P17993
DP04103,P0AC51
DP04110,P0A8W0
DP04118,O43665
DP04122,P93343
DP04125,P06702
DP04126,P95493
DP04127,W1QJK4
DP04128,P15126
DP04130,P32911
DP04131,Q5TDH0
DP04132,Q9NZC2
DP04133,P02649
DP04134,O54918-2
DP04139,O14497
DP04140,Q8R4E9
DP04141,Q96E09
DP04142,Q09312
DP04144,P21707
DP04145,P21579
DP04147,P97384
DP04148,P08453
DP04149,P51788
DP04151,O49255
DP04152,Q9C932
DP04153,Q6NQK2
DP04154,Q9XIN7
DP04155,P28749
DP04156,Q96B97
DP04157,O00418
DP04158,Q9BX66
DP04159,A0A0H2ZJC1
DP04160,Q0B311
DP04161,B7UM99
DP04162,O43896
DP04163,P32120-2
DP04164,O94885
DP04165,E7CC86
DP04166,P56536
DP04167,Q8N6T7
DP04169,O00499
DP04170,P34174
DP04171,Q92784-1
DP04172,Q61474
DP04173,Q9BUR4
DP04174,Q12211
DP04175,Q08647
DP04176,P9WHP7
DP04177,P05114
DP04178,O14746
DP04179,P30519
DP04180,O60232
DP04182,Q99453
DP04183,Q9ZHD1
